,Source,Target,Weight
653,Theodore Roosevelt,John T. Caine,0
654,Theodore Roosevelt,Erastus Snow,0
655,Theodore Roosevelt,Orson F. Whitney,0
656,Theodore Roosevelt,David O. McKay,0
657,Theodore Roosevelt,Kit Carson,0
658,Theodore Roosevelt,William H. King,0
659,Theodore Roosevelt,Emmeline B. Wells,0
660,Theodore Roosevelt,Andrew Jenson,0
661,Theodore Roosevelt,Grover Cleveland,0
662,Theodore Roosevelt,Charles Kelly,0
663,Theodore Roosevelt,Frank J. Cannon,0
664,Abraham Lincoln,James Buchanan,4
665,Abraham Lincoln,Parley P. Pratt,0
666,Abraham Lincoln,B. H. Roberts,0
667,Abraham Lincoln,Simon Bamberger,0
668,Abraham Lincoln,Franklin D. Richards,0
669,Abraham Lincoln,Lorenzo Snow,0
670,Abraham Lincoln,Heber M. Wells,0
671,Abraham Lincoln,Franklin D. Roosevelt,0
672,Abraham Lincoln,William Spry,0
673,Abraham Lincoln,Thomas Kearns,0
674,Abraham Lincoln,Willard Richards,0
675,Abraham Lincoln,Orson Hyde,0
676,Abraham Lincoln,Uncle Sam,1
677,Abraham Lincoln,Lot Smith,2
678,Abraham Lincoln,Albert Sidney Johnston,0
679,Abraham Lincoln,Woodrow Wilson,0
680,Abraham Lincoln,Juanita Brooks,0
681,Abraham Lincoln,Thomas L. Kane,1
682,Abraham Lincoln,Jim Bridger,0
683,Abraham Lincoln,John C. Fremont,0
684,Abraham Lincoln,Leonard Arrington,0
685,Abraham Lincoln,Howard Stansbury,0
686,Abraham Lincoln,John T. Caine,0
687,Abraham Lincoln,Erastus Snow,0
688,Abraham Lincoln,Orson F. Whitney,0
689,Abraham Lincoln,David O. McKay,0
690,Abraham Lincoln,Kit Carson,0
691,Abraham Lincoln,William H. King,0
692,Abraham Lincoln,Emmeline B. Wells,0
693,Abraham Lincoln,Andrew Jenson,0
694,Abraham Lincoln,Grover Cleveland,1
695,Abraham Lincoln,Charles Kelly,0
696,Abraham Lincoln,Frank J. Cannon,0
697,James Buchanan,Parley P. Pratt,0
698,James Buchanan,B. H. Roberts,0
699,James Buchanan,Simon Bamberger,0
700,James Buchanan,Franklin D. Richards,0
701,James Buchanan,Lorenzo Snow,0
702,James Buchanan,Heber M. Wells,0
703,James Buchanan,Franklin D. Roosevelt,0
704,James Buchanan,William Spry,0
705,James Buchanan,Thomas Kearns,0
706,James Buchanan,Willard Richards,0
707,James Buchanan,Orson Hyde,0
708,James Buchanan,Uncle Sam,0
709,James Buchanan,Lot Smith,1
710,James Buchanan,Albert Sidney Johnston,7
711,James Buchanan,Woodrow Wilson,0
712,James Buchanan,Juanita Brooks,0
713,James Buchanan,Thomas L. Kane,5
714,James Buchanan,Jim Bridger,0
715,James Buchanan,John C. Fremont,1
716,James Buchanan,Leonard Arrington,0
717,James Buchanan,Howard Stansbury,0
718,James Buchanan,John T. Caine,0
719,James Buchanan,Erastus Snow,0
720,James Buchanan,Orson F. Whitney,0
721,James Buchanan,David O. McKay,0
722,James Buchanan,Kit Carson,0
723,James Buchanan,William H. King,0
724,James Buchanan,Emmeline B. Wells,0
725,James Buchanan,Andrew Jenson,0
726,James Buchanan,Grover Cleveland,0
727,James Buchanan,Charles Kelly,0
728,James Buchanan,Frank J. Cannon,0
729,Parley P. Pratt,B. H. Roberts,0
730,Parley P. Pratt,Simon Bamberger,0
731,Parley P. Pratt,Franklin D. Richards,0
732,Parley P. Pratt,Lorenzo Snow,0
733,Parley P. Pratt,Heber M. Wells,0
734,Parley P. Pratt,Franklin D. Roosevelt,0
735,Parley P. Pratt,William Spry,0
736,Parley P. Pratt,Thomas Kearns,0
737,Parley P. Pratt,Willard Richards,4
738,Parley P. Pratt,Orson Hyde,1
739,Parley P. Pratt,Uncle Sam,0
740,Parley P. Pratt,Lot Smith,0
741,Parley P. Pratt,Albert Sidney Johnston,0
742,Parley P. Pratt,Woodrow Wilson,0
743,Parley P. Pratt,Juanita Brooks,0
744,Parley P. Pratt,Thomas L. Kane,0
745,Parley P. Pratt,Jim Bridger,0
746,Parley P. Pratt,John C. Fremont,0
747,Parley P. Pratt,Leonard Arrington,0
748,Parley P. Pratt,Howard Stansbury,0
749,Parley P. Pratt,John T. Caine,1
750,Parley P. Pratt,Erastus Snow,0
751,Parley P. Pratt,Orson F. Whitney,0
752,Parley P. Pratt,David O. McKay,0
753,Parley P. Pratt,Kit Carson,0
754,Parley P. Pratt,William H. King,0
755,Parley P. Pratt,Emmeline B. Wells,0
756,Parley P. Pratt,Andrew Jenson,1
757,Parley P. Pratt,Grover Cleveland,0
758,Parley P. Pratt,Charles Kelly,0
759,Parley P. Pratt,Frank J. Cannon,1
760,B. H. Roberts,Simon Bamberger,1
761,B. H. Roberts,Franklin D. Richards,1
762,B. H. Roberts,Lorenzo Snow,1
763,B. H. Roberts,Heber M. Wells,1
764,B. H. Roberts,Franklin D. Roosevelt,0
765,B. H. Roberts,William Spry,0
766,B. H. Roberts,Thomas Kearns,0
767,B. H. Roberts,Willard Richards,0
768,B. H. Roberts,Orson Hyde,0
769,B. H. Roberts,Uncle Sam,0
770,B. H. Roberts,Lot Smith,0
771,B. H. Roberts,Albert Sidney Johnston,0
772,B. H. Roberts,Woodrow Wilson,1
773,B. H. Roberts,Juanita Brooks,1
774,B. H. Roberts,Thomas L. Kane,0
775,B. H. Roberts,Jim Bridger,0
776,B. H. Roberts,John C. Fremont,0
777,B. H. Roberts,Leonard Arrington,0
778,B. H. Roberts,Howard Stansbury,0
779,B. H. Roberts,John T. Caine,0
780,B. H. Roberts,Erastus Snow,0
781,B. H. Roberts,Orson F. Whitney,3
782,B. H. Roberts,David O. McKay,0
783,B. H. Roberts,Kit Carson,0
784,B. H. Roberts,William H. King,0
785,B. H. Roberts,Emmeline B. Wells,1
786,B. H. Roberts,Andrew Jenson,1
787,B. H. Roberts,Grover Cleveland,0
788,B. H. Roberts,Charles Kelly,0
789,B. H. Roberts,Frank J. Cannon,1
790,Simon Bamberger,Franklin D. Richards,0
791,Simon Bamberger,Lorenzo Snow,0
792,Simon Bamberger,Heber M. Wells,0
793,Simon Bamberger,Franklin D. Roosevelt,0
794,Simon Bamberger,William Spry,4
795,Simon Bamberger,Thomas Kearns,0
796,Simon Bamberger,Willard Richards,0
797,Simon Bamberger,Orson Hyde,0
798,Simon Bamberger,Uncle Sam,0
799,Simon Bamberger,Lot Smith,0
800,Simon Bamberger,Albert Sidney Johnston,0
801,Simon Bamberger,Woodrow Wilson,1
802,Simon Bamberger,Juanita Brooks,0
803,Simon Bamberger,Thomas L. Kane,0
804,Simon Bamberger,Jim Bridger,0
805,Simon Bamberger,John C. Fremont,0
806,Simon Bamberger,Leonard Arrington,0
807,Simon Bamberger,Howard Stansbury,0
808,Simon Bamberger,John T. Caine,0
809,Simon Bamberger,Erastus Snow,0
810,Simon Bamberger,Orson F. Whitney,0
811,Simon Bamberger,David O. McKay,1
812,Simon Bamberger,Kit Carson,0
813,Simon Bamberger,William H. King,4
814,Simon Bamberger,Emmeline B. Wells,1
815,Simon Bamberger,Andrew Jenson,0
816,Simon Bamberger,Grover Cleveland,0
817,Simon Bamberger,Charles Kelly,0
818,Simon Bamberger,Frank J. Cannon,0
819,Franklin D. Richards,Lorenzo Snow,5
820,Franklin D. Richards,Heber M. Wells,0
821,Franklin D. Richards,Franklin D. Roosevelt,0
822,Franklin D. Richards,William Spry,0
823,Franklin D. Richards,Thomas Kearns,0
824,Franklin D. Richards,Willard Richards,1
825,Franklin D. Richards,Orson Hyde,1
826,Franklin D. Richards,Uncle Sam,0
827,Franklin D. Richards,Lot Smith,1
828,Franklin D. Richards,Albert Sidney Johnston,0
829,Franklin D. Richards,Woodrow Wilson,0
830,Franklin D. Richards,Juanita Brooks,0
831,Franklin D. Richards,Thomas L. Kane,0
832,Franklin D. Richards,Jim Bridger,0
833,Franklin D. Richards,John C. Fremont,0
834,Franklin D. Richards,Leonard Arrington,0
835,Franklin D. Richards,Howard Stansbury,0
836,Franklin D. Richards,John T. Caine,2
837,Franklin D. Richards,Erastus Snow,4
838,Franklin D. Richards,Orson F. Whitney,1
839,Franklin D. Richards,David O. McKay,0
840,Franklin D. Richards,Kit Carson,0
841,Franklin D. Richards,William H. King,0
842,Franklin D. Richards,Emmeline B. Wells,0
843,Franklin D. Richards,Andrew Jenson,1
844,Franklin D. Richards,Grover Cleveland,0
845,Franklin D. Richards,Charles Kelly,0
846,Franklin D. Richards,Frank J. Cannon,0
847,Lorenzo Snow,Heber M. Wells,0
848,Lorenzo Snow,Franklin D. Roosevelt,0
849,Lorenzo Snow,William Spry,0
850,Lorenzo Snow,Thomas Kearns,0
851,Lorenzo Snow,Willard Richards,2
852,Lorenzo Snow,Orson Hyde,2
853,Lorenzo Snow,Uncle Sam,0
854,Lorenzo Snow,Lot Smith,0
855,Lorenzo Snow,Albert Sidney Johnston,0
856,Lorenzo Snow,Woodrow Wilson,0
857,Lorenzo Snow,Juanita Brooks,0
858,Lorenzo Snow,Thomas L. Kane,0
859,Lorenzo Snow,Jim Bridger,0
860,Lorenzo Snow,John C. Fremont,0
861,Lorenzo Snow,Leonard Arrington,1
862,Lorenzo Snow,Howard Stansbury,0
863,Lorenzo Snow,John T. Caine,0
864,Lorenzo Snow,Erastus Snow,3
865,Lorenzo Snow,Orson F. Whitney,0
866,Lorenzo Snow,David O. McKay,0
867,Lorenzo Snow,Kit Carson,0
868,Lorenzo Snow,William H. King,0
869,Lorenzo Snow,Emmeline B. Wells,0
870,Lorenzo Snow,Andrew Jenson,1
871,Lorenzo Snow,Grover Cleveland,0
872,Lorenzo Snow,Charles Kelly,0
873,Lorenzo Snow,Frank J. Cannon,0
874,Heber M. Wells,Franklin D. Roosevelt,0
875,Heber M. Wells,William Spry,0
876,Heber M. Wells,Thomas Kearns,0
877,Heber M. Wells,Willard Richards,0
878,Heber M. Wells,Orson Hyde,0
879,Heber M. Wells,Uncle Sam,0
880,Heber M. Wells,Lot Smith,0
881,Heber M. Wells,Albert Sidney Johnston,0
882,Heber M. Wells,Woodrow Wilson,0
883,Heber M. Wells,Juanita Brooks,0
884,Heber M. Wells,Thomas L. Kane,0
885,Heber M. Wells,Jim Bridger,0
886,Heber M. Wells,John C. Fremont,0
887,Heber M. Wells,Leonard Arrington,0
888,Heber M. Wells,Howard Stansbury,0
889,Heber M. Wells,John T. Caine,1
890,Heber M. Wells,Erastus Snow,0
891,Heber M. Wells,Orson F. Whitney,1
892,Heber M. Wells,David O. McKay,0
893,Heber M. Wells,Kit Carson,0
894,Heber M. Wells,William H. King,2
895,Heber M. Wells,Emmeline B. Wells,1
896,Heber M. Wells,Andrew Jenson,0
897,Heber M. Wells,Grover Cleveland,0
898,Heber M. Wells,Charles Kelly,0
899,Heber M. Wells,Frank J. Cannon,2
900,Franklin D. Roosevelt,William Spry,0
901,Franklin D. Roosevelt,Thomas Kearns,0
902,Franklin D. Roosevelt,Willard Richards,0
903,Franklin D. Roosevelt,Orson Hyde,0
904,Franklin D. Roosevelt,Uncle Sam,0
905,Franklin D. Roosevelt,Lot Smith,0
906,Franklin D. Roosevelt,Albert Sidney Johnston,0
907,Franklin D. Roosevelt,Woodrow Wilson,1
908,Franklin D. Roosevelt,Juanita Brooks,0
909,Franklin D. Roosevelt,Thomas L. Kane,0
910,Franklin D. Roosevelt,Jim Bridger,0
911,Franklin D. Roosevelt,John C. Fremont,0
912,Franklin D. Roosevelt,Leonard Arrington,0
913,Franklin D. Roosevelt,Howard Stansbury,0
914,Franklin D. Roosevelt,John T. Caine,0
915,Franklin D. Roosevelt,Erastus Snow,0
916,Franklin D. Roosevelt,Orson F. Whitney,0
917,Franklin D. Roosevelt,David O. McKay,1
918,Franklin D. Roosevelt,Kit Carson,0
919,Franklin D. Roosevelt,William H. King,1
920,Franklin D. Roosevelt,Emmeline B. Wells,0
921,Franklin D. Roosevelt,Andrew Jenson,0
922,Franklin D. Roosevelt,Grover Cleveland,0
923,Franklin D. Roosevelt,Charles Kelly,0
924,Franklin D. Roosevelt,Frank J. Cannon,0
925,William Spry,Thomas Kearns,0
926,William Spry,Willard Richards,0
927,William Spry,Orson Hyde,0
928,William Spry,Uncle Sam,0
929,William Spry,Lot Smith,0
930,William Spry,Albert Sidney Johnston,0
931,William Spry,Woodrow Wilson,2
932,William Spry,Juanita Brooks,0
933,William Spry,Thomas L. Kane,0
934,William Spry,Jim Bridger,0
935,William Spry,John C. Fremont,0
936,William Spry,Leonard Arrington,0
937,William Spry,Howard Stansbury,0
938,William Spry,John T. Caine,0
939,William Spry,Erastus Snow,0
940,William Spry,Orson F. Whitney,0
941,William Spry,David O. McKay,0
942,William Spry,Kit Carson,0
943,William Spry,William H. King,2
944,William Spry,Emmeline B. Wells,0
945,William Spry,Andrew Jenson,0
946,William Spry,Grover Cleveland,0
947,William Spry,Charles Kelly,0
948,William Spry,Frank J. Cannon,1
949,Thomas Kearns,Willard Richards,0
950,Thomas Kearns,Orson Hyde,0
951,Thomas Kearns,Uncle Sam,0
952,Thomas Kearns,Lot Smith,0
953,Thomas Kearns,Albert Sidney Johnston,0
954,Thomas Kearns,Woodrow Wilson,0
955,Thomas Kearns,Juanita Brooks,1
956,Thomas Kearns,Thomas L. Kane,0
957,Thomas Kearns,Jim Bridger,0
958,Thomas Kearns,John C. Fremont,0
959,Thomas Kearns,Leonard Arrington,0
960,Thomas Kearns,Howard Stansbury,0
961,Thomas Kearns,John T. Caine,0
962,Thomas Kearns,Erastus Snow,0
963,Thomas Kearns,Orson F. Whitney,0
964,Thomas Kearns,David O. McKay,0
965,Thomas Kearns,Kit Carson,0
966,Thomas Kearns,William H. King,0
967,Thomas Kearns,Emmeline B. Wells,0
968,Thomas Kearns,Andrew Jenson,0
969,Thomas Kearns,Grover Cleveland,0
970,Thomas Kearns,Charles Kelly,1
971,Thomas Kearns,Frank J. Cannon,1
972,Willard Richards,Orson Hyde,1
973,Willard Richards,Uncle Sam,0
974,Willard Richards,Lot Smith,0
975,Willard Richards,Albert Sidney Johnston,0
976,Willard Richards,Woodrow Wilson,0
977,Willard Richards,Juanita Brooks,0
978,Willard Richards,Thomas L. Kane,0
979,Willard Richards,Jim Bridger,0
980,Willard Richards,John C. Fremont,0
981,Willard Richards,Leonard Arrington,0
982,Willard Richards,Howard Stansbury,0
983,Willard Richards,John T. Caine,0
984,Willard Richards,Erastus Snow,1
985,Willard Richards,Orson F. Whitney,0
986,Willard Richards,David O. McKay,0
987,Willard Richards,Kit Carson,0
988,Willard Richards,William H. King,0
989,Willard Richards,Emmeline B. Wells,0
990,Willard Richards,Andrew Jenson,0
991,Willard Richards,Grover Cleveland,0
992,Willard Richards,Charles Kelly,0
993,Willard Richards,Frank J. Cannon,0
994,Orson Hyde,Uncle Sam,0
995,Orson Hyde,Lot Smith,0
996,Orson Hyde,Albert Sidney Johnston,0
997,Orson Hyde,Woodrow Wilson,0
998,Orson Hyde,Juanita Brooks,0
999,Orson Hyde,Thomas L. Kane,0
1000,Orson Hyde,Jim Bridger,0
1001,Orson Hyde,John C. Fremont,0
1002,Orson Hyde,Leonard Arrington,0
1003,Orson Hyde,Howard Stansbury,0
1004,Orson Hyde,John T. Caine,0
1005,Orson Hyde,Erastus Snow,1
1006,Orson Hyde,Orson F. Whitney,0
1007,Orson Hyde,David O. McKay,0
1008,Orson Hyde,Kit Carson,1
1009,Orson Hyde,William H. King,0
1010,Orson Hyde,Emmeline B. Wells,0
1011,Orson Hyde,Andrew Jenson,0
1012,Orson Hyde,Grover Cleveland,0
1013,Orson Hyde,Charles Kelly,0
1014,Orson Hyde,Frank J. Cannon,0
1015,Uncle Sam,Lot Smith,1
1016,Uncle Sam,Albert Sidney Johnston,0
1017,Uncle Sam,Woodrow Wilson,0
1018,Uncle Sam,Juanita Brooks,0
1019,Uncle Sam,Thomas L. Kane,0
1020,Uncle Sam,Jim Bridger,0
1021,Uncle Sam,John C. Fremont,0
1022,Uncle Sam,Leonard Arrington,0
1023,Uncle Sam,Howard Stansbury,0
1024,Uncle Sam,John T. Caine,0
1025,Uncle Sam,Erastus Snow,1
1026,Uncle Sam,Orson F. Whitney,0
1027,Uncle Sam,David O. McKay,0
1028,Uncle Sam,Kit Carson,1
1029,Uncle Sam,William H. King,0
1030,Uncle Sam,Emmeline B. Wells,0
1031,Uncle Sam,Andrew Jenson,0
1032,Uncle Sam,Grover Cleveland,1
1033,Uncle Sam,Charles Kelly,0
1034,Uncle Sam,Frank J. Cannon,0
1035,Lot Smith,Albert Sidney Johnston,2
1036,Lot Smith,Woodrow Wilson,0
1037,Lot Smith,Juanita Brooks,0
1038,Lot Smith,Thomas L. Kane,1
1039,Lot Smith,Jim Bridger,1
1040,Lot Smith,John C. Fremont,1
1041,Lot Smith,Leonard Arrington,0
1042,Lot Smith,Howard Stansbury,1
1043,Lot Smith,John T. Caine,0
1044,Lot Smith,Erastus Snow,1
1045,Lot Smith,Orson F. Whitney,0
1046,Lot Smith,David O. McKay,0
1047,Lot Smith,Kit Carson,1
1048,Lot Smith,William H. King,0
1049,Lot Smith,Emmeline B. Wells,0
1050,Lot Smith,Andrew Jenson,0
1051,Lot Smith,Grover Cleveland,0
1052,Lot Smith,Charles Kelly,0
1053,Lot Smith,Frank J. Cannon,0
1054,Albert Sidney Johnston,Woodrow Wilson,0
1055,Albert Sidney Johnston,Juanita Brooks,0
1056,Albert Sidney Johnston,Thomas L. Kane,3
1057,Albert Sidney Johnston,Jim Bridger,1
1058,Albert Sidney Johnston,John C. Fremont,0
1059,Albert Sidney Johnston,Leonard Arrington,0
1060,Albert Sidney Johnston,Howard Stansbury,0
1061,Albert Sidney Johnston,John T. Caine,0
1062,Albert Sidney Johnston,Erastus Snow,0
1063,Albert Sidney Johnston,Orson F. Whitney,0
1064,Albert Sidney Johnston,David O. McKay,0
1065,Albert Sidney Johnston,Kit Carson,0
1066,Albert Sidney Johnston,William H. King,0
1067,Albert Sidney Johnston,Emmeline B. Wells,0
1068,Albert Sidney Johnston,Andrew Jenson,0
1069,Albert Sidney Johnston,Grover Cleveland,0
1070,Albert Sidney Johnston,Charles Kelly,0
1071,Albert Sidney Johnston,Frank J. Cannon,0
1072,Woodrow Wilson,Juanita Brooks,0
1073,Woodrow Wilson,Thomas L. Kane,0
1074,Woodrow Wilson,Jim Bridger,0
1075,Woodrow Wilson,John C. Fremont,0
1076,Woodrow Wilson,Leonard Arrington,0
1077,Woodrow Wilson,Howard Stansbury,0
1078,Woodrow Wilson,John T. Caine,0
1079,Woodrow Wilson,Erastus Snow,0
1080,Woodrow Wilson,Orson F. Whitney,0
1081,Woodrow Wilson,David O. McKay,0
1082,Woodrow Wilson,Kit Carson,0
1083,Woodrow Wilson,William H. King,1
1084,Woodrow Wilson,Emmeline B. Wells,0
1085,Woodrow Wilson,Andrew Jenson,0
1086,Woodrow Wilson,Grover Cleveland,0
1087,Woodrow Wilson,Charles Kelly,0
1088,Woodrow Wilson,Frank J. Cannon,0
1089,Juanita Brooks,Thomas L. Kane,0
1090,Juanita Brooks,Jim Bridger,0
1091,Juanita Brooks,John C. Fremont,0
1092,Juanita Brooks,Leonard Arrington,2
1093,Juanita Brooks,Howard Stansbury,0
1094,Juanita Brooks,John T. Caine,0
1095,Juanita Brooks,Erastus Snow,2
1096,Juanita Brooks,Orson F. Whitney,0
1097,Juanita Brooks,David O. McKay,0
1098,Juanita Brooks,Kit Carson,0
1099,Juanita Brooks,William H. King,0
1100,Juanita Brooks,Emmeline B. Wells,0
1101,Juanita Brooks,Andrew Jenson,0
1102,Juanita Brooks,Grover Cleveland,0
1103,Juanita Brooks,Charles Kelly,6
1104,Juanita Brooks,Frank J. Cannon,0
1105,Thomas L. Kane,Jim Bridger,0
1106,Thomas L. Kane,John C. Fremont,0
1107,Thomas L. Kane,Leonard Arrington,0
1108,Thomas L. Kane,Howard Stansbury,0
1109,Thomas L. Kane,John T. Caine,0
1110,Thomas L. Kane,Erastus Snow,0
1111,Thomas L. Kane,Orson F. Whitney,0
1112,Thomas L. Kane,David O. McKay,0
1113,Thomas L. Kane,Kit Carson,0
1114,Thomas L. Kane,William H. King,0
1115,Thomas L. Kane,Emmeline B. Wells,0
1116,Thomas L. Kane,Andrew Jenson,0
1117,Thomas L. Kane,Grover Cleveland,0
1118,Thomas L. Kane,Charles Kelly,0
1119,Thomas L. Kane,Frank J. Cannon,0
1120,Jim Bridger,John C. Fremont,0
1121,Jim Bridger,Leonard Arrington,0
1122,Jim Bridger,Howard Stansbury,0
1123,Jim Bridger,John T. Caine,0
1124,Jim Bridger,Erastus Snow,0
1125,Jim Bridger,Orson F. Whitney,0
1126,Jim Bridger,David O. McKay,0
1127,Jim Bridger,Kit Carson,4
1128,Jim Bridger,William H. King,0
1129,Jim Bridger,Emmeline B. Wells,0
1130,Jim Bridger,Andrew Jenson,0
1131,Jim Bridger,Grover Cleveland,0
1132,Jim Bridger,Charles Kelly,0
1133,Jim Bridger,Frank J. Cannon,0
1134,John C. Fremont,Leonard Arrington,0
1135,John C. Fremont,Howard Stansbury,6
1136,John C. Fremont,John T. Caine,0
1137,John C. Fremont,Erastus Snow,0
1138,John C. Fremont,Orson F. Whitney,0
1139,John C. Fremont,David O. McKay,0
1140,John C. Fremont,Kit Carson,5
1141,John C. Fremont,William H. King,0
1142,John C. Fremont,Emmeline B. Wells,0
1143,John C. Fremont,Andrew Jenson,0
1144,John C. Fremont,Grover Cleveland,0
1145,John C. Fremont,Charles Kelly,0
1146,John C. Fremont,Frank J. Cannon,0
1147,Leonard Arrington,Howard Stansbury,0
1148,Leonard Arrington,John T. Caine,0
1149,Leonard Arrington,Erastus Snow,0
1150,Leonard Arrington,Orson F. Whitney,0
1151,Leonard Arrington,David O. McKay,0
1152,Leonard Arrington,Kit Carson,0
1153,Leonard Arrington,William H. King,0
1154,Leonard Arrington,Emmeline B. Wells,0
1155,Leonard Arrington,Andrew Jenson,0
1156,Leonard Arrington,Grover Cleveland,0
1157,Leonard Arrington,Charles Kelly,1
1158,Leonard Arrington,Frank J. Cannon,0
1159,Howard Stansbury,John T. Caine,0
1160,Howard Stansbury,Erastus Snow,0
1161,Howard Stansbury,Orson F. Whitney,0
1162,Howard Stansbury,David O. McKay,0
1163,Howard Stansbury,Kit Carson,1
1164,Howard Stansbury,William H. King,0
1165,Howard Stansbury,Emmeline B. Wells,0
1166,Howard Stansbury,Andrew Jenson,0
1167,Howard Stansbury,Grover Cleveland,0
1168,Howard Stansbury,Charles Kelly,0
1169,Howard Stansbury,Frank J. Cannon,0
1170,John T. Caine,Erastus Snow,0
1171,John T. Caine,Orson F. Whitney,3
1172,John T. Caine,David O. McKay,0
1173,John T. Caine,Kit Carson,0
1174,John T. Caine,William H. King,0
1175,John T. Caine,Emmeline B. Wells,1
1176,John T. Caine,Andrew Jenson,1
1177,John T. Caine,Grover Cleveland,2
1178,John T. Caine,Charles Kelly,0
1179,John T. Caine,Frank J. Cannon,1
1180,Erastus Snow,Orson F. Whitney,0
1181,Erastus Snow,David O. McKay,0
1182,Erastus Snow,Kit Carson,0
1183,Erastus Snow,William H. King,0
1184,Erastus Snow,Emmeline B. Wells,0
1185,Erastus Snow,Andrew Jenson,0
1186,Erastus Snow,Grover Cleveland,0
1187,Erastus Snow,Charles Kelly,0
1188,Erastus Snow,Frank J. Cannon,0
1189,Orson F. Whitney,David O. McKay,0
1190,Orson F. Whitney,Kit Carson,0
1191,Orson F. Whitney,William H. King,1
1192,Orson F. Whitney,Emmeline B. Wells,0
1193,Orson F. Whitney,Andrew Jenson,1
1194,Orson F. Whitney,Grover Cleveland,0
1195,Orson F. Whitney,Charles Kelly,0
1196,Orson F. Whitney,Frank J. Cannon,1
1197,David O. McKay,Kit Carson,0
1198,David O. McKay,William H. King,0
1199,David O. McKay,Emmeline B. Wells,0
1200,David O. McKay,Andrew Jenson,0
1201,David O. McKay,Grover Cleveland,0
1202,David O. McKay,Charles Kelly,0
1203,David O. McKay,Frank J. Cannon,0
1204,Kit Carson,William H. King,0
1205,Kit Carson,Emmeline B. Wells,0
1206,Kit Carson,Andrew Jenson,0
1207,Kit Carson,Grover Cleveland,0
1208,Kit Carson,Charles Kelly,0
1209,Kit Carson,Frank J. Cannon,0
1210,William H. King,Emmeline B. Wells,0
1211,William H. King,Andrew Jenson,0
1212,William H. King,Grover Cleveland,0
1213,William H. King,Charles Kelly,0
1214,William H. King,Frank J. Cannon,2
1215,Emmeline B. Wells,Andrew Jenson,0
1216,Emmeline B. Wells,Grover Cleveland,0
1217,Emmeline B. Wells,Charles Kelly,0
1218,Emmeline B. Wells,Frank J. Cannon,0
1219,Andrew Jenson,Grover Cleveland,0
1220,Andrew Jenson,Charles Kelly,0
1221,Andrew Jenson,Frank J. Cannon,0
1222,Grover Cleveland,Charles Kelly,0
1223,Grover Cleveland,Frank J. Cannon,0
1224,Charles Kelly,Frank J. Cannon,0
