,Source,Target,Weight
152,John Taylor,Heber J. Grant,0
153,John Taylor,John Wesley Powell,0
154,John Taylor,Jacob Hamblin,0
155,John Taylor,Theodore Roosevelt,0
156,John Taylor,Abraham Lincoln,0
157,John Taylor,James Buchanan,0
158,John Taylor,Parley P. Pratt,5
159,John Taylor,B. H. Roberts,1
160,John Taylor,Simon Bamberger,0
161,John Taylor,Franklin D. Richards,8
162,John Taylor,Lorenzo Snow,7
163,John Taylor,Heber M. Wells,0
164,John Taylor,Franklin D. Roosevelt,0
165,John Taylor,William Spry,0
166,John Taylor,Thomas Kearns,0
167,John Taylor,Willard Richards,6
168,John Taylor,Orson Hyde,5
169,John Taylor,Uncle Sam,0
170,John Taylor,Lot Smith,1
171,John Taylor,Albert Sidney Johnston,0
172,John Taylor,Woodrow Wilson,0
173,John Taylor,Juanita Brooks,0
174,John Taylor,Thomas L. Kane,0
175,John Taylor,Jim Bridger,0
176,John Taylor,John C. Fremont,0
177,John Taylor,Leonard Arrington,0
178,John Taylor,Howard Stansbury,0
179,John Taylor,John T. Caine,0
180,John Taylor,Erastus Snow,4
181,John Taylor,Orson F. Whitney,0
182,John Taylor,David O. McKay,0
183,John Taylor,Kit Carson,0
184,John Taylor,William H. King,0
185,John Taylor,Emmeline B. Wells,0
186,John Taylor,Andrew Jenson,0
187,John Taylor,Grover Cleveland,1
188,John Taylor,Charles Kelly,0
189,John Taylor,Frank J. Cannon,0
190,George Q. Cannon,George A. Smith,5
191,George Q. Cannon,Heber C. Kimball,1
192,George Q. Cannon,Joseph F. Smith,26
193,George Q. Cannon,Orson Pratt,4
194,George Q. Cannon,Daniel H. Wells,3
195,George Q. Cannon,Reed Smoot,1
196,George Q. Cannon,John D. Lee,0
197,George Q. Cannon,Heber J. Grant,2
198,George Q. Cannon,John Wesley Powell,0
199,George Q. Cannon,Jacob Hamblin,1
200,George Q. Cannon,Theodore Roosevelt,0
201,George Q. Cannon,Abraham Lincoln,0
202,George Q. Cannon,James Buchanan,1
203,George Q. Cannon,Parley P. Pratt,0
204,George Q. Cannon,B. H. Roberts,2
205,George Q. Cannon,Simon Bamberger,0
206,George Q. Cannon,Franklin D. Richards,7
207,George Q. Cannon,Lorenzo Snow,3
208,George Q. Cannon,Heber M. Wells,2
209,George Q. Cannon,Franklin D. Roosevelt,0
210,George Q. Cannon,William Spry,0
211,George Q. Cannon,Thomas Kearns,0
212,George Q. Cannon,Willard Richards,0
213,George Q. Cannon,Orson Hyde,1
214,George Q. Cannon,Uncle Sam,0
215,George Q. Cannon,Lot Smith,1
216,George Q. Cannon,Albert Sidney Johnston,0
217,George Q. Cannon,Woodrow Wilson,0
218,George Q. Cannon,Juanita Brooks,0
219,George Q. Cannon,Thomas L. Kane,0
220,George Q. Cannon,Jim Bridger,0
221,George Q. Cannon,John C. Fremont,0
222,George Q. Cannon,Leonard Arrington,0
223,George Q. Cannon,Howard Stansbury,0
224,George Q. Cannon,John T. Caine,1
