Source,Target,Weight
James Buchanan,John T. Caine,0
James Buchanan,Erastus Snow,0
James Buchanan,Orson F. Whitney,0
James Buchanan,David O. McKay,0
James Buchanan,Kit Carson,0
James Buchanan,William H. King,0
James Buchanan,Emmeline B. Wells,0
James Buchanan,Andrew Jenson,0
James Buchanan,Grover Cleveland,0
James Buchanan,Charles Kelly,0
James Buchanan,Frank J. Cannon,0
Parley P. Pratt,B. H. Roberts,0
Parley P. Pratt,Simon Bamberger,0
Parley P. Pratt,Franklin D. Richards,0
Parley P. Pratt,Lorenzo Snow,0
Parley P. Pratt,Heber M. Wells,0
Parley P. Pratt,Franklin D. Roosevelt,0
Parley P. Pratt,William Spry,0
Parley P. Pratt,Thomas Kearns,0
Parley P. Pratt,Willard Richards,4
Parley P. Pratt,Orson Hyde,1
Parley P. Pratt,Uncle Sam,0
Parley P. Pratt,Lot Smith,0
Parley P. Pratt,Albert Sidney Johnston,0
Parley P. Pratt,Woodrow Wilson,0
Parley P. Pratt,Juanita Brooks,0
Parley P. Pratt,Thomas L. Kane,0
Parley P. Pratt,Jim Bridger,0
Parley P. Pratt,John C. Fremont,0
Parley P. Pratt,Leonard Arrington,0
Parley P. Pratt,Howard Stansbury,0
Parley P. Pratt,John T. Caine,1
Parley P. Pratt,Erastus Snow,0
Parley P. Pratt,Orson F. Whitney,0
Parley P. Pratt,David O. McKay,0
Parley P. Pratt,Kit Carson,0
Parley P. Pratt,William H. King,0
Parley P. Pratt,Emmeline B. Wells,0
Parley P. Pratt,Andrew Jenson,1
Parley P. Pratt,Grover Cleveland,0
Parley P. Pratt,Charles Kelly,0
Parley P. Pratt,Frank J. Cannon,1
B. H. Roberts,Simon Bamberger,1
B. H. Roberts,Franklin D. Richards,1
B. H. Roberts,Lorenzo Snow,1
B. H. Roberts,Heber M. Wells,1
B. H. Roberts,Franklin D. Roosevelt,0
B. H. Roberts,William Spry,0
B. H. Roberts,Thomas Kearns,0
B. H. Roberts,Willard Richards,0
B. H. Roberts,Orson Hyde,0
B. H. Roberts,Uncle Sam,0
B. H. Roberts,Lot Smith,0
B. H. Roberts,Albert Sidney Johnston,0
B. H. Roberts,Woodrow Wilson,1
B. H. Roberts,Juanita Brooks,1
B. H. Roberts,Thomas L. Kane,0
B. H. Roberts,Jim Bridger,0
B. H. Roberts,John C. Fremont,0
B. H. Roberts,Leonard Arrington,0
B. H. Roberts,Howard Stansbury,0
B. H. Roberts,John T. Caine,0
B. H. Roberts,Erastus Snow,0
B. H. Roberts,Orson F. Whitney,3
B. H. Roberts,David O. McKay,0
B. H. Roberts,Kit Carson,0
B. H. Roberts,William H. King,0
B. H. Roberts,Emmeline B. Wells,1
B. H. Roberts,Andrew Jenson,1
B. H. Roberts,Grover Cleveland,0
B. H. Roberts,Charles Kelly,0
B. H. Roberts,Frank J. Cannon,1
Simon Bamberger,Franklin D. Richards,0
Simon Bamberger,Lorenzo Snow,0
Simon Bamberger,Heber M. Wells,0
Simon Bamberger,Franklin D. Roosevelt,0
Simon Bamberger,William Spry,4
Simon Bamberger,Thomas Kearns,0
Simon Bamberger,Willard Richards,0
Simon Bamberger,Orson Hyde,0
Simon Bamberger,Uncle Sam,0
Simon Bamberger,Lot Smith,0
Simon Bamberger,Albert Sidney Johnston,0
Simon Bamberger,Woodrow Wilson,1
Simon Bamberger,Juanita Brooks,0
Simon Bamberger,Thomas L. Kane,0
Simon Bamberger,Jim Bridger,0
Simon Bamberger,John C. Fremont,0
Simon Bamberger,Leonard Arrington,0
Simon Bamberger,Howard Stansbury,0
Simon Bamberger,John T. Caine,0
Simon Bamberger,Erastus Snow,0
Simon Bamberger,Orson F. Whitney,0
Simon Bamberger,David O. McKay,1
Simon Bamberger,Kit Carson,0
Simon Bamberger,William H. King,4
Simon Bamberger,Emmeline B. Wells,1
Simon Bamberger,Andrew Jenson,0
Simon Bamberger,Grover Cleveland,0
Simon Bamberger,Charles Kelly,0
Simon Bamberger,Frank J. Cannon,0
Franklin D. Richards,Lorenzo Snow,5
Franklin D. Richards,Heber M. Wells,0
Franklin D. Richards,Franklin D. Roosevelt,0
Franklin D. Richards,William Spry,0
Franklin D. Richards,Thomas Kearns,0
Franklin D. Richards,Willard Richards,1
Franklin D. Richards,Orson Hyde,1
Franklin D. Richards,Uncle Sam,0
Franklin D. Richards,Lot Smith,1
Franklin D. Richards,Albert Sidney Johnston,0
Franklin D. Richards,Woodrow Wilson,0
Franklin D. Richards,Juanita Brooks,0
Franklin D. Richards,Thomas L. Kane,0
Franklin D. Richards,Jim Bridger,0
Franklin D. Richards,John C. Fremont,0
Franklin D. Richards,Leonard Arrington,0
Franklin D. Richards,Howard Stansbury,0
Franklin D. Richards,John T. Caine,2
Franklin D. Richards,Erastus Snow,4
Franklin D. Richards,Orson F. Whitney,1
Franklin D. Richards,David O. McKay,0
Franklin D. Richards,Kit Carson,0
Franklin D. Richards,William H. King,0
Franklin D. Richards,Emmeline B. Wells,0
Franklin D. Richards,Andrew Jenson,1
Franklin D. Richards,Grover Cleveland,0
Franklin D. Richards,Charles Kelly,0
Franklin D. Richards,Frank J. Cannon,0
Lorenzo Snow,Heber M. Wells,0
Lorenzo Snow,Franklin D. Roosevelt,0
Lorenzo Snow,William Spry,0
Lorenzo Snow,Thomas Kearns,0
Lorenzo Snow,Willard Richards,2
Lorenzo Snow,Orson Hyde,2
Lorenzo Snow,Uncle Sam,0
Lorenzo Snow,Lot Smith,0
Lorenzo Snow,Albert Sidney Johnston,0
Lorenzo Snow,Woodrow Wilson,0
Lorenzo Snow,Juanita Brooks,0
Lorenzo Snow,Thomas L. Kane,0
Lorenzo Snow,Jim Bridger,0
Lorenzo Snow,John C. Fremont,0
Lorenzo Snow,Leonard Arrington,1
Lorenzo Snow,Howard Stansbury,0
Lorenzo Snow,John T. Caine,0
Lorenzo Snow,Erastus Snow,3
Lorenzo Snow,Orson F. Whitney,0
Lorenzo Snow,David O. McKay,0
Lorenzo Snow,Kit Carson,0
Lorenzo Snow,William H. King,0
Lorenzo Snow,Emmeline B. Wells,0
Lorenzo Snow,Andrew Jenson,1
Lorenzo Snow,Grover Cleveland,0
Lorenzo Snow,Charles Kelly,0
Lorenzo Snow,Frank J. Cannon,0
Heber M. Wells,Franklin D. Roosevelt,0
Heber M. Wells,William Spry,0
Heber M. Wells,Thomas Kearns,0
Heber M. Wells,Willard Richards,0
Heber M. Wells,Orson Hyde,0
Heber M. Wells,Uncle Sam,0
Heber M. Wells,Lot Smith,0
Heber M. Wells,Albert Sidney Johnston,0
Heber M. Wells,Woodrow Wilson,0
Heber M. Wells,Juanita Brooks,0
Heber M. Wells,Thomas L. Kane,0
Heber M. Wells,Jim Bridger,0
Heber M. Wells,John C. Fremont,0
Heber M. Wells,Leonard Arrington,0
Heber M. Wells,Howard Stansbury,0
Heber M. Wells,John T. Caine,1
Heber M. Wells,Erastus Snow,0
Heber M. Wells,Orson F. Whitney,1
Heber M. Wells,David O. McKay,0
Heber M. Wells,Kit Carson,0
Heber M. Wells,William H. King,2
Heber M. Wells,Emmeline B. Wells,1
Heber M. Wells,Andrew Jenson,0
Heber M. Wells,Grover Cleveland,0
Heber M. Wells,Charles Kelly,0
Heber M. Wells,Frank J. Cannon,2
Franklin D. Roosevelt,William Spry,0
Franklin D. Roosevelt,Thomas Kearns,0
Franklin D. Roosevelt,Willard Richards,0
Franklin D. Roosevelt,Orson Hyde,0
Franklin D. Roosevelt,Uncle Sam,0
Franklin D. Roosevelt,Lot Smith,0
Franklin D. Roosevelt,Albert Sidney Johnston,0
Franklin D. Roosevelt,Woodrow Wilson,1
Franklin D. Roosevelt,Juanita Brooks,0
Franklin D. Roosevelt,Thomas L. Kane,0
Franklin D. Roosevelt,Jim Bridger,0
Franklin D. Roosevelt,John C. Fremont,0
Franklin D. Roosevelt,Leonard Arrington,0
Franklin D. Roosevelt,Howard Stansbury,0
Franklin D. Roosevelt,John T. Caine,0
Franklin D. Roosevelt,Erastus Snow,0
Franklin D. Roosevelt,Orson F. Whitney,0
Franklin D. Roosevelt,David O. McKay,1
Franklin D. Roosevelt,Kit Carson,0
Franklin D. Roosevelt,William H. King,1
Franklin D. Roosevelt,Emmeline B. Wells,0
Franklin D. Roosevelt,Andrew Jenson,0
Franklin D. Roosevelt,Grover Cleveland,0
Franklin D. Roosevelt,Charles Kelly,0
Franklin D. Roosevelt,Frank J. Cannon,0
William Spry,Thomas Kearns,0
William Spry,Willard Richards,0
William Spry,Orson Hyde,0
William Spry,Uncle Sam,0
William Spry,Lot Smith,0
William Spry,Albert Sidney Johnston,0
William Spry,Woodrow Wilson,2
William Spry,Juanita Brooks,0
William Spry,Thomas L. Kane,0
William Spry,Jim Bridger,0
William Spry,John C. Fremont,0
William Spry,Leonard Arrington,0
William Spry,Howard Stansbury,0
William Spry,John T. Caine,0
William Spry,Erastus Snow,0
William Spry,Orson F. Whitney,0
William Spry,David O. McKay,0
William Spry,Kit Carson,0
William Spry,William H. King,2
William Spry,Emmeline B. Wells,0
William Spry,Andrew Jenson,0
William Spry,Grover Cleveland,0
William Spry,Charles Kelly,0
William Spry,Frank J. Cannon,1
Thomas Kearns,Willard Richards,0
Thomas Kearns,Orson Hyde,0
Thomas Kearns,Uncle Sam,0
Thomas Kearns,Lot Smith,0
Thomas Kearns,Albert Sidney Johnston,0
Thomas Kearns,Woodrow Wilson,0
Thomas Kearns,Juanita Brooks,1
Thomas Kearns,Thomas L. Kane,0
Thomas Kearns,Jim Bridger,0
Thomas Kearns,John C. Fremont,0
Thomas Kearns,Leonard Arrington,0
Thomas Kearns,Howard Stansbury,0
Thomas Kearns,John T. Caine,0
Thomas Kearns,Erastus Snow,0
Thomas Kearns,Orson F. Whitney,0
Thomas Kearns,David O. McKay,0
Thomas Kearns,Kit Carson,0
Thomas Kearns,William H. King,0
Thomas Kearns,Emmeline B. Wells,0
Thomas Kearns,Andrew Jenson,0
Thomas Kearns,Grover Cleveland,0
Thomas Kearns,Charles Kelly,1
Thomas Kearns,Frank J. Cannon,1
Willard Richards,Orson Hyde,1
Willard Richards,Uncle Sam,0
Willard Richards,Lot Smith,0
Willard Richards,Albert Sidney Johnston,0
Willard Richards,Woodrow Wilson,0
Willard Richards,Juanita Brooks,0
Willard Richards,Thomas L. Kane,0
Willard Richards,Jim Bridger,0
Willard Richards,John C. Fremont,0
Willard Richards,Leonard Arrington,0
Willard Richards,Howard Stansbury,0
Willard Richards,John T. Caine,0
Willard Richards,Erastus Snow,1
Willard Richards,Orson F. Whitney,0
Willard Richards,David O. McKay,0
Willard Richards,Kit Carson,0
Willard Richards,William H. King,0
Willard Richards,Emmeline B. Wells,0
Willard Richards,Andrew Jenson,0
Willard Richards,Grover Cleveland,0
Willard Richards,Charles Kelly,0
Willard Richards,Frank J. Cannon,0
Orson Hyde,Uncle Sam,0
Orson Hyde,Lot Smith,0
Orson Hyde,Albert Sidney Johnston,0
Orson Hyde,Woodrow Wilson,0
Orson Hyde,Juanita Brooks,0
Orson Hyde,Thomas L. Kane,0
Orson Hyde,Jim Bridger,0
Orson Hyde,John C. Fremont,0
Orson Hyde,Leonard Arrington,0
Orson Hyde,Howard Stansbury,0
Orson Hyde,John T. Caine,0
Orson Hyde,Erastus Snow,1
Orson Hyde,Orson F. Whitney,0
Orson Hyde,David O. McKay,0
Orson Hyde,Kit Carson,1
Orson Hyde,William H. King,0
Orson Hyde,Emmeline B. Wells,0
Orson Hyde,Andrew Jenson,0
Orson Hyde,Grover Cleveland,0
Orson Hyde,Charles Kelly,0
Orson Hyde,Frank J. Cannon,0
Uncle Sam,Lot Smith,1
Uncle Sam,Albert Sidney Johnston,0
Uncle Sam,Woodrow Wilson,0
Uncle Sam,Juanita Brooks,0
Uncle Sam,Thomas L. Kane,0
Uncle Sam,Jim Bridger,0
Uncle Sam,John C. Fremont,0
Uncle Sam,Leonard Arrington,0
Uncle Sam,Howard Stansbury,0
Uncle Sam,John T. Caine,0
Uncle Sam,Erastus Snow,1
Uncle Sam,Orson F. Whitney,0
Uncle Sam,David O. McKay,0
Uncle Sam,Kit Carson,1
Uncle Sam,William H. King,0
Uncle Sam,Emmeline B. Wells,0
Uncle Sam,Andrew Jenson,0
Uncle Sam,Grover Cleveland,1
Uncle Sam,Charles Kelly,0
Uncle Sam,Frank J. Cannon,0
Lot Smith,Albert Sidney Johnston,2
Lot Smith,Woodrow Wilson,0
Lot Smith,Juanita Brooks,0
Lot Smith,Thomas L. Kane,1
Lot Smith,Jim Bridger,1
Lot Smith,John C. Fremont,1
Lot Smith,Leonard Arrington,0
Lot Smith,Howard Stansbury,1
Lot Smith,John T. Caine,0
Lot Smith,Erastus Snow,1
Lot Smith,Orson F. Whitney,0
Lot Smith,David O. McKay,0
Lot Smith,Kit Carson,1
Lot Smith,William H. King,0
Lot Smith,Emmeline B. Wells,0
Lot Smith,Andrew Jenson,0
Lot Smith,Grover Cleveland,0
Lot Smith,Charles Kelly,0
Lot Smith,Frank J. Cannon,0
Albert Sidney Johnston,Woodrow Wilson,0
Albert Sidney Johnston,Juanita Brooks,0
Albert Sidney Johnston,Thomas L. Kane,3
Albert Sidney Johnston,Jim Bridger,1
Albert Sidney Johnston,John C. Fremont,0
Albert Sidney Johnston,Leonard Arrington,0
Albert Sidney Johnston,Howard Stansbury,0
Albert Sidney Johnston,John T. Caine,0
Albert Sidney Johnston,Erastus Snow,0
Albert Sidney Johnston,Orson F. Whitney,0
Albert Sidney Johnston,David O. McKay,0
Albert Sidney Johnston,Kit Carson,0
Albert Sidney Johnston,William H. King,0
Albert Sidney Johnston,Emmeline B. Wells,0
Albert Sidney Johnston,Andrew Jenson,0
Albert Sidney Johnston,Grover Cleveland,0
Albert Sidney Johnston,Charles Kelly,0
Albert Sidney Johnston,Frank J. Cannon,0
Woodrow Wilson,Juanita Brooks,0
Woodrow Wilson,Thomas L. Kane,0
Woodrow Wilson,Jim Bridger,0
Woodrow Wilson,John C. Fremont,0
Woodrow Wilson,Leonard Arrington,0
Woodrow Wilson,Howard Stansbury,0
Woodrow Wilson,John T. Caine,0
Woodrow Wilson,Erastus Snow,0
Woodrow Wilson,Orson F. Whitney,0
Woodrow Wilson,David O. McKay,0
Woodrow Wilson,Kit Carson,0
Woodrow Wilson,William H. King,1
Woodrow Wilson,Emmeline B. Wells,0
Woodrow Wilson,Andrew Jenson,0
Woodrow Wilson,Grover Cleveland,0
Woodrow Wilson,Charles Kelly,0
Woodrow Wilson,Frank J. Cannon,0
Juanita Brooks,Thomas L. Kane,0
Juanita Brooks,Jim Bridger,0
Juanita Brooks,John C. Fremont,0
Juanita Brooks,Leonard Arrington,2
Juanita Brooks,Howard Stansbury,0
Juanita Brooks,John T. Caine,0
Juanita Brooks,Erastus Snow,2
Juanita Brooks,Orson F. Whitney,0
Juanita Brooks,David O. McKay,0
Juanita Brooks,Kit Carson,0
Juanita Brooks,William H. King,0
Juanita Brooks,Emmeline B. Wells,0
Juanita Brooks,Andrew Jenson,0
Juanita Brooks,Grover Cleveland,0
Juanita Brooks,Charles Kelly,6
Juanita Brooks,Frank J. Cannon,0
Thomas L. Kane,Jim Bridger,0
Thomas L. Kane,John C. Fremont,0
Thomas L. Kane,Leonard Arrington,0
Thomas L. Kane,Howard Stansbury,0
Thomas L. Kane,John T. Caine,0
Thomas L. Kane,Erastus Snow,0
Thomas L. Kane,Orson F. Whitney,0
Thomas L. Kane,David O. McKay,0
Thomas L. Kane,Kit Carson,0
Thomas L. Kane,William H. King,0
Thomas L. Kane,Emmeline B. Wells,0
Thomas L. Kane,Andrew Jenson,0
Thomas L. Kane,Grover Cleveland,0
Thomas L. Kane,Charles Kelly,0
Thomas L. Kane,Frank J. Cannon,0
Jim Bridger,John C. Fremont,0
Jim Bridger,Leonard Arrington,0
Jim Bridger,Howard Stansbury,0
Jim Bridger,John T. Caine,0
Jim Bridger,Erastus Snow,0
Jim Bridger,Orson F. Whitney,0
Jim Bridger,David O. McKay,0
Jim Bridger,Kit Carson,4
Jim Bridger,William H. King,0
Jim Bridger,Emmeline B. Wells,0
Jim Bridger,Andrew Jenson,0
Jim Bridger,Grover Cleveland,0
Jim Bridger,Charles Kelly,0
Jim Bridger,Frank J. Cannon,0
John C. Fremont,Leonard Arrington,0
John C. Fremont,Howard Stansbury,6
John C. Fremont,John T. Caine,0
John C. Fremont,Erastus Snow,0
John C. Fremont,Orson F. Whitney,0
John C. Fremont,David O. McKay,0
John C. Fremont,Kit Carson,5
John C. Fremont,William H. King,0
John C. Fremont,Emmeline B. Wells,0
John C. Fremont,Andrew Jenson,0
John C. Fremont,Grover Cleveland,0
John C. Fremont,Charles Kelly,0
John C. Fremont,Frank J. Cannon,0
Leonard Arrington,Howard Stansbury,0
Leonard Arrington,John T. Caine,0
Leonard Arrington,Erastus Snow,0
Leonard Arrington,Orson F. Whitney,0
Leonard Arrington,David O. McKay,0
Leonard Arrington,Kit Carson,0
Leonard Arrington,William H. King,0
Leonard Arrington,Emmeline B. Wells,0
Leonard Arrington,Andrew Jenson,0
Leonard Arrington,Grover Cleveland,0
Leonard Arrington,Charles Kelly,1
Leonard Arrington,Frank J. Cannon,0
Howard Stansbury,John T. Caine,0
Howard Stansbury,Erastus Snow,0
Howard Stansbury,Orson F. Whitney,0
Howard Stansbury,David O. McKay,0
Howard Stansbury,Kit Carson,1
Howard Stansbury,William H. King,0
Howard Stansbury,Emmeline B. Wells,0
Howard Stansbury,Andrew Jenson,0
Howard Stansbury,Grover Cleveland,0
Howard Stansbury,Charles Kelly,0
Howard Stansbury,Frank J. Cannon,0
John T. Caine,Erastus Snow,0
John T. Caine,Orson F. Whitney,3
John T. Caine,David O. McKay,0
John T. Caine,Kit Carson,0
John T. Caine,William H. King,0
John T. Caine,Emmeline B. Wells,1
John T. Caine,Andrew Jenson,1
John T. Caine,Grover Cleveland,2
John T. Caine,Charles Kelly,0
John T. Caine,Frank J. Cannon,1
Erastus Snow,Orson F. Whitney,0
Erastus Snow,David O. McKay,0
Erastus Snow,Kit Carson,0
Erastus Snow,William H. King,0
Erastus Snow,Emmeline B. Wells,0
Erastus Snow,Andrew Jenson,0
Erastus Snow,Grover Cleveland,0
Erastus Snow,Charles Kelly,0
Erastus Snow,Frank J. Cannon,0
Orson F. Whitney,David O. McKay,0
Orson F. Whitney,Kit Carson,0
Orson F. Whitney,William H. King,1
Orson F. Whitney,Emmeline B. Wells,0
Orson F. Whitney,Andrew Jenson,1
Orson F. Whitney,Grover Cleveland,0
Orson F. Whitney,Charles Kelly,0
Orson F. Whitney,Frank J. Cannon,1
David O. McKay,Kit Carson,0
David O. McKay,William H. King,0
David O. McKay,Emmeline B. Wells,0
David O. McKay,Andrew Jenson,0
David O. McKay,Grover Cleveland,0
David O. McKay,Charles Kelly,0
David O. McKay,Frank J. Cannon,0
Kit Carson,William H. King,0
Kit Carson,Emmeline B. Wells,0
Kit Carson,Andrew Jenson,0
Kit Carson,Grover Cleveland,0
Kit Carson,Charles Kelly,0
Kit Carson,Frank J. Cannon,0
William H. King,Emmeline B. Wells,0
William H. King,Andrew Jenson,0
William H. King,Grover Cleveland,0
William H. King,Charles Kelly,0
William H. King,Frank J. Cannon,2
Emmeline B. Wells,Andrew Jenson,0
Emmeline B. Wells,Grover Cleveland,0
Emmeline B. Wells,Charles Kelly,0
Emmeline B. Wells,Frank J. Cannon,0
Andrew Jenson,Grover Cleveland,0
Andrew Jenson,Charles Kelly,0
Andrew Jenson,Frank J. Cannon,0
Grover Cleveland,Charles Kelly,0
Grover Cleveland,Frank J. Cannon,0
Charles Kelly,Frank J. Cannon,0
