Source,Target,Weight
John Taylor,Orson F. Whitney,0
John Taylor,David O. McKay,0
John Taylor,Kit Carson,0
John Taylor,William H. King,0
John Taylor,Emmeline B. Wells,0
John Taylor,Andrew Jenson,0
John Taylor,Grover Cleveland,1
John Taylor,Charles Kelly,0
John Taylor,Frank J. Cannon,0
George Q. Cannon,George A. Smith,5
George Q. Cannon,Heber C. Kimball,1
George Q. Cannon,Joseph F. Smith,26
George Q. Cannon,Orson Pratt,4
George Q. Cannon,Daniel H. Wells,3
George Q. Cannon,Reed Smoot,1
George Q. Cannon,John D. Lee,0
George Q. Cannon,Heber J. Grant,2
George Q. Cannon,John Wesley Powell,0
George Q. Cannon,Jacob Hamblin,1
George Q. Cannon,Theodore Roosevelt,0
George Q. Cannon,Abraham Lincoln,0
George Q. Cannon,James Buchanan,1
George Q. Cannon,Parley P. Pratt,0
George Q. Cannon,B. H. Roberts,2
George Q. Cannon,Simon Bamberger,0
George Q. Cannon,Franklin D. Richards,7
George Q. Cannon,Lorenzo Snow,3
George Q. Cannon,Heber M. Wells,2
George Q. Cannon,Franklin D. Roosevelt,0
George Q. Cannon,William Spry,0
George Q. Cannon,Thomas Kearns,0
George Q. Cannon,Willard Richards,0
George Q. Cannon,Orson Hyde,1
George Q. Cannon,Uncle Sam,0
George Q. Cannon,Lot Smith,1
George Q. Cannon,Albert Sidney Johnston,0
George Q. Cannon,Woodrow Wilson,0
George Q. Cannon,Juanita Brooks,0
George Q. Cannon,Thomas L. Kane,0
George Q. Cannon,Jim Bridger,0
George Q. Cannon,John C. Fremont,0
George Q. Cannon,Leonard Arrington,0
George Q. Cannon,Howard Stansbury,0
George Q. Cannon,John T. Caine,1
George Q. Cannon,Erastus Snow,1
George Q. Cannon,Orson F. Whitney,2
George Q. Cannon,David O. McKay,0
George Q. Cannon,Kit Carson,0
George Q. Cannon,William H. King,0
George Q. Cannon,Emmeline B. Wells,1
George Q. Cannon,Andrew Jenson,2
George Q. Cannon,Grover Cleveland,1
George Q. Cannon,Charles Kelly,0
George Q. Cannon,Frank J. Cannon,8
George A. Smith,Heber C. Kimball,6
George A. Smith,Joseph F. Smith,2
George A. Smith,Orson Pratt,7
George A. Smith,Daniel H. Wells,5
George A. Smith,Reed Smoot,0
George A. Smith,John D. Lee,1
George A. Smith,Heber J. Grant,1
George A. Smith,John Wesley Powell,0
George A. Smith,Jacob Hamblin,7
George A. Smith,Theodore Roosevelt,0
George A. Smith,Abraham Lincoln,0
George A. Smith,James Buchanan,0
George A. Smith,Parley P. Pratt,0
George A. Smith,B. H. Roberts,0
George A. Smith,Simon Bamberger,0
George A. Smith,Franklin D. Richards,4
George A. Smith,Lorenzo Snow,4
George A. Smith,Heber M. Wells,0
George A. Smith,Franklin D. Roosevelt,0
George A. Smith,William Spry,0
George A. Smith,Thomas Kearns,0
George A. Smith,Willard Richards,4
George A. Smith,Orson Hyde,5
